,,,,,,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011
AMC Name,Scheme Name,Asset Type,Asset,Instrument Name,Industry,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Info Edge (India) Ltd.,BPO/ITeS,,,,0.7210,2.0121,2.3157,3.1865,3.8174,4.3305,4.3440,5.0558,5.4106,5.9647
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Ipca Laboratories Ltd.,Pharmaceuticals & Drugs,,,,0.0993,0.1358,0.1451,,,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Kotak Mahindra Bank Ltd.,Bank - Private,,,,0.7130,7.8859,7.5919,7.0959,7.6095,7.4923,7.5481,6.2704,8.3262,9.3228
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Nestle India Ltd.,Consumer Food,,,,1.3022,4.1251,4.1703,4.8350,4.5675,4.3096,4.0847,4.2605,4.4614,4.2250
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Symphony Ltd.,Consumer Durables - Domestic Appliances,,,,0.6098,0.9051,1.1495,1.1588,1.0918,1.0333,1.0224,1.1907,1.0299,0.9341
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Tata Consultancy Services Ltd.,IT - Software ,,,,3.2383,8.1771,8.2930,8.4150,9.1771,9.8620,8.8429,9.2984,9.6569,7.4143
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Torrent Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,,,,0.4059,1.0122,1.1069,1.1556,1.1194,0.1023,0.1003,0.1103,0.0982,0.0909
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Torrent Power Ltd.,Power Generation/Distribution,,,,0.3708,1.9808,2.3509,2.3490,2.2685,2.2717,2.2815,2.2443,2.7587,2.5368
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Wipro Ltd.,IT - Software ,,,,,,,1.2840,1.2787,1.6041,2.3594,2.8497,3.4017,3.1794
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Adidas AG - Sponsored,Unspecified,,,,,,,,,,,,0.7429,0.6924
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Adobe Systems,Unspecified,,,,0.5231,1.1529,0.8169,0.8463,0.7809,0.6864,0.7600,0.8353,0.6774,0.5798
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,AIA Group (Hongkong),Unspecified,,,,,,,,,,,,0.8318,0.8546
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Alphabet Inc A,Unspecified,,,,0.7197,1.5010,1.2878,1.2991,1.2754,1.3636,1.4401,1.3495,1.3107,1.2936
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Amazon.com,Unspecified,,,,0.4883,1.1891,1.3160,1.2862,,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,ASML Holding NV,Unspecified,,,,,,,,0.8476,0.7859,0.7489,0.8228,0.7410,0.7479
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Banco Bilbao Vizcaya,Unspecified,,,,,0.3595,0.3424,0.3373,0.4822,0.4360,0.3995,0.3694,0.3507,0.5375
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Bank Central Asia Tbk PT,Unspecified,,,,,0.3636,0.3196,0.3819,0.7133,0.7641,0.8373,0.7205,0.7199,0.7333
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Booking holdings Inc,Unspecified,,,,0.3915,0.7547,1.0062,1.0233,0.4585,0.6143,0.6541,0.5895,0.7204,0.8221
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Bunzl PLC.,Unspecified,,,,,0.5484,0.8849,0.9000,1.1240,0.9885,0.8782,0.7451,0.6435,0.6355
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,CSL Ltd.-Australia,Unspecified,,,,,0.4000,0.5339,0.4608,0.4272,0.4309,0.4116,0.4281,0.4694,0.4479
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Danaher Corp,Other,,,,0.3012,0.6739,0.6169,0.5875,0.5602,0.4761,0.3836,0.3306,0.3243,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Danone,Unspecified,,,,,,,,,,,,0.2431,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Danone-Spons,Unspecified,,,,,0.5929,0.8014,0.7582,0.7429,0.4938,0.4075,0.2953,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Deere & Co,Unspecified,,,,0.4267,0.8799,0.9049,0.9042,0.9106,0.8723,0.9634,0.8443,0.7778,0.7828
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,First Republic Bank,Unspecified,,,,,,0.3316,0.3174,0.4532,0.5115,0.4665,0.4587,0.6275,0.6175
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Greggs PLC,Unspecified,,,,,,,,0.2520,0.2373,0.3634,0.2898,0.4351,0.5444
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Ingersoll Rand Inc,Unspecified,,,,,0.0718,,,,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Intuit Inc.,Unspecified,,,,0.2121,0.4389,0.4618,0.4966,0.5357,0.5705,0.6031,0.5910,0.5644,0.5122
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Kerry Group PLC,Unspecified,,,,,,,,,,,,,0.4692
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Legrand Sa,Unspecified,,,,,0.2336,,,,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Lonza Group Ag,Unspecified,,,,,0.9729,0.9391,0.9622,0.4338,0.5042,0.4059,0.3188,0.2917,0.2433
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Mastercard,Unspecified,,,,0.2778,0.6057,0.6997,0.7146,0.7069,0.7841,0.8257,0.6561,0.5066,0.5054
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Microsoft Corp,Unspecified,,,,,,1.2924,1.2661,1.3655,1.3623,1.4408,1.6038,1.3807,1.2242
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Nestle SA,Unspecified,,,,0.3136,0.7706,0.8271,0.7960,0.8128,0.9177,0.8498,0.8628,0.7593,0.7388
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Norsk Hydro As,Unspecified,,,,,0.3258,0.3246,,,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Raia Drogasil,Unspecified,,,,,0.1547,0.1904,0.2039,0.4703,0.5444,0.5635,0.8451,0.4249,0.4032
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Recruit Holdings Co Ltd,Unspecified,,,,,0.2524,0.6022,0.7131,0.6628,0.6340,0.6481,0.8100,0.8437,0.8199
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Roche Holding Ltd,Unspecified,,,,,,,,,,,,0.8229,0.7295
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Santen Pharmaceutical Co Ltd.,Unspecified,,,,,,,,,,,,,0.4919
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Schneider Electric Sa,Unspecified,,,,,0.8079,1.0948,1.0623,1.2195,1.0411,1.0206,1.0909,0.9403,0.9632
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Spirax-Sarco Engineering PLC,Unspecified,,,,,0.4238,0.4255,0.4572,0.2882,0.3076,0.3067,0.3366,0.3053,0.2961
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Taiwan Semiconductor,Unspecified,,,,,0.4679,0.6330,0.5598,0.8480,1.1672,1.0997,1.1352,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Taiwan Semiconductor Manufacturing Company Ltd.,Unspecified,,,,,,,,,,,,1.0885,1.0932
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Tencent Holdings,Unspecified,,,,,,1.1530,0.8949,1.0446,1.0886,1.0455,0.9042,0.9342,0.8189
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Terumo Corp,Unspecified,,,,,0.2964,,,,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Texas Instruments,Unspecified,,,,0.3840,0.8091,0.9279,0.8630,0.9412,0.8644,0.8782,0.9076,0.9129,0.8999
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Overseas Equities,Thermo Fisher Scientific Inc,Unspecified,,,,0.3057,0.6854,0.6053,0.5918,0.5436,0.6177,0.6966,0.7947,0.8198,0.6886
